Pick,Team,To,Player,Pos,Age,School,40-Yard Dash,Vertical Jump,Broad Jump,20-Yard Shuttle,Bench Press,G,AP1,PB,St
263,NOR,6.0,Robert Clark,WR,22,North Carolina Central,4.58,28.5,114,4.58,4,67,0,0,3
264,ATL,,Jerry Reese,TE,,Illinois,4.73,27.5,107,4.37,14,,0,0,0
282,GNB,2.0,Patrick Scott,WR,22,Grambling State,4.75,31.5,116,4.34,,24,0,0,0
286,DET,,Brian Siverling,TE,,Penn State,4.94,29.0,99,4.61,6,,0,0,0
290,NOR,1.0,Arthur Wells,TE,24,Grambling State,4.82,28.0,101,4.82,13,2,0,0,0
291,DAL,,Jeff Ward,K,,Texas,4.78,24.5,103,4.38,,,0,0,0
297,SEA,1.0,Darryl Oliver,RB,23,Miami (FL),4.63,28.0,112,4.40,12,2,0,0,0
298,KAN,,Craig Richardson,WR,,Eastern Washington,4.62,34.5,119,4.35,14,,0,0,0
301,SFO,2.0,Calvin Nicholas,WR,23,Grambling State,4.67,27.5,117,4.40,12,7,0,0,0
313,TAM,,Mike Shula,QB,,Alabama,5.13,26.5,99,4.49,2,,0,0,0
315,DET,2.0,Gary Lee,WR,22,Georgia Tech,4.53,31.5,117,,4,26,0,0,0
316,PHI,5.0,Bobby Morse,RB,21,Michigan State,4.65,29.0,110,4.07,14,38,0,0,0
317,PIT,1.0,Theo Young,TE,22,Arkansas,4.89,30.0,107,4.20,9,12,0,0,0
324,SEA,1.0,Tony Burse,RB,22,Middle Tennessee State,4.71,27.5,104,4.88,20,12,0,0,0
327,NYJ,,Bill Ransdell,QB,,Kentucky,4.96,24.0,99,4.22,10,,0,0,0
328,CIN,3.0,John Holifield,RB,23,West Virginia,4.55,30.5,115,4.15,14,3,0,0,0
2,KAN,13.0,Neil Smith,DE,22,Nebraska,4.65,32.5,124,4.57,,191,1,6,11
6,RAI,17.0,Tim Brown,WR,22,Notre Dame,4.39,,,,,255,0,9,13
13,PHI,9.0,Keith Jackson,TE,23,Oklahoma,4.69,29.0,,4.59,,129,3,5,7
14,RAM,5.0,Gaston Green,RB,22,UCLA,4.32,33.5,119,4.27,8,58,0,1,2
